131,bdr:NM9C8DEB6FF7CEC129,rdfs:label,klong chen rab 'byams pa dri med 'od zer/
132,bda:LG07470B2F724FDEA6,rdf:type,adm:UpdateData
133,bdr:P1583,bdo:hasSon,bdr:P8528
134,bdr:P1583,bdo:note,bdr:NTDAA95D67ECFAB1A7
135,bda:LG6B646336F5EE567D,adm:logWho,ns1:U00016
136,bdr:P1583,bdo:personStudentOf,bdr:P2JM190
137,bdr:P1583,bdo:personTeacherOf,bdr:P2JM201
138,bdr:P7091,bdo:personStudentOf,bdr:P1583
139,bda:P1583,adm:logEntry,bda:LG98727DC2859B3588
140,bda:P1583,adm:logEntry,bda:LGE1683F39A3E5756E
141,bdr:NME2F236C649A1C622,rdf:type,bdo:PersonPrimaryName
142,bda:P1583,adm:logEntry,bda:LG650F49A48542C160
143,bdr:P5092,bdo:personStudentOf,bdr:P1583
144,bdr:P4312,bdo:personTeacherOf,bdr:P1583
145,bdr:P1583,bdo:note,bdr:NTF24F5C4DD8140821
146,bda:P1583,rdf:type,adm:AdminData
147,bdr:P2JM189,bdo:personTeacherOf,bdr:P1583
148,bdr:P1583,bdo:kinWith,bdr:P1584
149,bdr:EV81A442B676BCDB2A,bdo:eventWhere,bdr:G521
150,bdr:P1583,bdo:personTeacherOf,bdr:P5092
151,bdr:P1583,bdo:personTeacherOf,bdr:P2JM202
152,bdr:P1584,bdo:personTeacherOf,bdr:P1583
153,bdr:EVDD9AB2BD104D0A7D,bdo:onYear,1308-01-01
154,bda:LG5A51821BAE247EF6,adm:logMessage,bcos
155,bdr:P1583,skos:prefLabel,klong chen rab 'byams pa dri med 'od zer/
156,bdr:P2JM199,bdo:personStudentOf,bdr:P1583
157,bdr:EV00B857229AAA1BF0,rdf:type,bdo:PersonDeath
158,bdr:P2JM204,bdo:personStudentOf,bdr:P1583
159,bdr:P1583,bdo:personTeacherOf,bdr:P2JM207
160,bdr:P4860,bdo:personTeacherOf,bdr:P1583
161,bdr:P8528,bdo:personStudentOf,bdr:P1583
162,bda:LGE1683F39A3E5756E,rdf:type,adm:UpdateData
163,bda:P1583,adm:status,bda:StatusReleased
164,bdr:P1583,bdo:personStudentOf,bdr:P2JM188
165,bdr:NMF942A81B0A73E4AA,rdf:type,bdo:PersonPersonalName
166,bdr:P1583,skos:prefLabel,隆钦热降巴·赤墨俄色
167,bdr:P8784,bdo:personStudentOf,bdr:P1583
168,bdr:P8528,bdo:hasParent,bdr:P1583
169,bdr:P1584,bdo:hasSon,bdr:P1583
170,bda:LG650F49A48542C160,adm:logMessage,edited note
171,bdr:P1585,bdo:kinWith,bdr:P1583
172,bdr:NMBC6B2B658373DD69,rdfs:label,bsam yas lung mang ba/
173,bdr:P1583,bdo:personTeacherOf,bdr:P2JM198
174,bdr:EV00B857229AAA1BF0,bdo:onYear,1364-01-01
175,bdr:P1583,bdo:personStudentOf,bdr:P2JM191
176,bdr:P6861,bdo:personStudentOf,bdr:P1583
