BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P00EGS1016934,,,,,,contributing author,,,,,,,,རྡོ་རྗེ་རིག་འཛིན།,,,,,,,,,,,,,,,,,,,,,,,,,
P2LS286,,,,,,,,,,,,,,རྡོ་རྗེ་རིག་འཛིན།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12332,,,,Geluk,Q319218,,,,,,,,,འཇིགས་མེད་བསྟན་འཛིན་རྒྱ་མཚོ།,,,སུམ་མཐིལ་སྤྲུལ་སྐུ་འཇིགས་མེད་བསྟན་འཛིན་རྒྱ་མཚོ།,ཤིས་ཚང་གདན་རབས ༡༦,,,,,,,,,,,,,,,,,,,,,
P8LS12339,,,,Geluk,Q319218,,,,,,,,,འཇིགས་མེད་བསྟན་འཛིན་རྒྱ་མཚོ།,,,ཧོར་སྤྲུལ ༠༥་འཇིགས་མེད་བསྟན་འཛིན་རྒྱ་མཚོ།,ཤིས་ཚང་གདན་རབས ༢༤,,,,,,,,,,,,,,,,,,,,,
P8LS12242,,,,Geluk,Q319218,,,,,,,,,བསྟན་འཛིན་ཆོས་གྲགས།,,,བྱ་ཁྱུང་མཁན་རབས ༨༤,སྡོང་རྒན་ཐང་བསྟན་འཛིན་ཆོས་གྲགས།,,,,,,,,,,,,,,,,,,,,,
P8LS12510,,,,,,,,,,,,,,བསྟན་འཛིན་ཆོས་གྲགས།,,,སྤོ་བོ་སྤང་ལབ་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P8LS75221,,,,,,main author,compiler,,,,,,,ཉི་མ།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG663,,,,,,main author,,,,,,,,ཉི་མ།,,nyima,,,,,,,,,,,,,,,,,,,,,,,
P1KG1430,Male,,,,,compiler,,,,,,,,ཟླ་བ་བཀྲ་ཤིས།,,dawa tashi,,,,,,,,,,,,,,,,,,,,,,,
P1KG13003,Male,,,,,main author,compiler,,,,,,,བཀྲ་ཤིས་ཟླ་བ།,,,,,,,,,,,,,,,,,,,,,,,,,
P2PD14811,,1936,,,,main author,,,,,,,,ཐུབ་བསྟན་དཔལ་བཟང་།,,,ཐུབ་བཟང་།,སྤྲུལ་སྐུ་ཐུབ་བཟང་།,,,,,,,,,,,,,,,,,,,,,
P1KG4434,Male,,,,,main author,,,,,,,,ཐུབ་བསྟན་དཔལ་བཟང་།,,"thupten palsang, geshe",བློ་གླིང་དགེ་བཤེས་ཐུབ་བསྟན་དཔལ་བཟང་།,,,,,,,,,,,,,,,,,,,,,,
P8LS73694,,,,,,main author,,,,,,,,བསྟན་འཛིན་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,,,,
