BDRC_ID,PlaceType,label_bo,label_zh-hans,label_en,label_zh-pinin,label_mn-x-trans,alias_bo,alias_zh-hans,alias_en,alias_zh-pinin,alias_mn-x-trans,Latitude,Longitude,FoundedOn,ConvertedOn
G3JT12596,printery,ཧེ་མི་དགོན་གྱི་པར་ཁང་།,,,,,ཧེ་མི་དགོན་བྱང་ཆུབ་ཆོས་གླིང་གྱི་པར་ཁང་།,,,,,,,,
G4011,monastery,འབའ་ཡ་སོ་དགོན།,亚所寺,,,,ཡ་སོ་དགོན།,,,yasuo si,,30.40000,99.35000,1737,
G2CN11135,monastery,སྨོན་རྒྱལ་བླ་བྲང་།,木荣寺,,,,,,,murong si,,,,1842,
G1PD96291,monastery,དམག་དཔོན་སྒོམ་གྲྭ།,木洪寺,,,,,蒙洪寺,,muhong si,,35.68101,102.55815,1690,
G1KR685,monastery,ཁོལ་རི་དགོན།,柯日寺,,,,,,,ke ri wa,,29.83333,99.81667,1200,
G1438,monastery,ཀོང་པོ་དེ་མོ་དགོན།,第穆寺,,,,ཀོང་པོ་དེ་མོ།,德木寺,,demu si,,29.50000,94.61667,,
G1PD96295,monastery,ཉིན་པ་སྒར།,宁巴寺,,,,,宁巴寺,,ningba si,,35.62296,102.65000,1590,
G1568,monastery,ཉ་བྲག་དགོན།,严绕寺,,,,དཀར་མཛེས་ཉ་བྲག་དགོན།,,,yanrong si,,31.61667,99.86667,1275,
G2GS1306,monastery,ལྡེམ་གཤིས་བུ་རྟ་འཛོམས་དགོན།,,,,,,,,,,,,,
G1KR1270,monastery,,尼姑寺,,,,,,,Nigu si,,29.73333,97.78333,,
G1KR1158,monastery,,崩寺,,,,,,,Beng si,,31.25000,95.91666,,
G4846,monastery,སྤང་གདོང་དགོན།,帮当寺,,,,དམ་ཆོས་དར་རྒྱས་གླིང་།,,,bangdang si,,33.75477,104.25096,1495,1850
G1KR1519,monastery,རིན་ཆེན་སྒང་།,仁青岗寺,,,,,,,Rinchengang,,29.71667,89.08334,1159,1650
G1372,monastery,གནམ་མཚོ་མའི་དགོན།,朗措玛寺,,,,བཀྲ་ཤིས་གཙུག་ལག་བཤད་སྒྲུབ་འཕེལ་རྒྱས་གླིང་།,天海金盘寺,,tianhai jinfan si,,32.86023,101.99277,1872,
G1KR1226,monastery,,卓修寺,,,,,夏桑寺,,Xiasang si,,30.56667,97.78333,,
G1KR1353,monastery,ཁྲ་རྒན་དགོན།,察根寺,,,,ཁྲ་རྒན་ཉི་ཕུག་སྒྲུབ་སྡེ།,查根永忠贡扎林,,chage si,,30.949464,96.439054,1699,
G1KR997,monastery,ཁྲེ་དགོན།,车寺,,,,,,,che si,,31.56667,97.13333,,
G2883,monastery,མེར་ཆེན་ལྷུན་གྲུབ་གླིང་དགོན།,,Dza Merchen Lhundrubling,,,རྫ་མེར་ཆེན་ལྷུན་གྲུབ་གླིང་དགོན།,,,,,,,,
G1KR155,monastery,སྲས་མཁར་དགོན།,曾克寺,,,,གཙུག་ན་དགོན།,色木卡尔/公子塔,,zengke si,,32.05977,100.98129,1949,
G1KR1682,monastery,,德木寺,,,,,德母寺,,Demu si,,31.53333,93.25000,,
G1KR1870,monastery,,巴嘎寺,,,,,,,Baga si,,30.21667,93.11667,,
G4575,monastery,ལྕགས་རི་དགོན།,加日寺,,,,,,,jiari si,,29.88404,91.00609,1150,1250
G4019,monastery,གྲུབ་འབྱུང་དགོན།,,,,,,,,,,,,,
G2KG220307,printery,སྟོང་འཁོར་པར་ཁང་ལེགས་བཤད་འཛད་མེད་ནོར་བུ་གླིང་།,,,,,པར་ཁང་ལེགས་བཤད་འཛད་མེད་དགའ་ཚལ།,,,,,,,,
G1KR776,monastery,གང་ར་ཇིན་དགོན།,岗绕颈寺,,,,,,,Gangraojin Erche,,28.58333,101.23333,,
G1872,monastery,མཛོ་སྣ་སྔགས་ཁང་།,昨那俄康,,,,,昨纳俄康,,zuona ekang,,36.07669,101.21699,1923,
G2655,monastery,ཧེ་རུ་དགོན།,海日寺,,,,,,,hairi si,,32.10545,95.93574,1880,
G1972,monastery,བྱང་ཆེན་དགོན།,,,,,ཐེག་ཆེན་ཆོས་འཁོར་གླིང་།,,,,,,,1579,
G2647,monastery,ཤོར་ཕུ་དགོན།,肖甫寺,,,,,夏午寺,,xiawu si,,32.74345,96.14986,1231,
G1PD96166,monastery,བ་ཡན་སྨད་ཐའི་དགོན་པ།,麻达寺,,,,,,,mada si,,36.13549,102.26142,,
G228,monastery,སྤྱིལ་ཕུ་དགོན།,,Jilpu Gon,,,སྤྱིལ་བུ་དགོན།,,,,,,,,
G4688,monastery,ཙནྡན་དགོན།,赞丹寺,,,,སོག་ཙནྡན་དགོན།,索县赞丹寺,,suoxian zandan si,,31.88333,93.78333,,
G1835,monastery,བིས་ཀྱཱ་གྲྭ་ཚང་།,毕家寺,Bikya Dratsang,,,,石家寺,,shijia si,,36.01335,101.40151,1651,
G1PD96039,monastery,ཨ་ལན་གེ་ཟི།,阿兰盖寺,,,,,万佛寺,,alangai si,,35.85721,102.86089,,
G1KR2754,monastery,ཝ་ལུང་དགོན་པ།,哇龙寺,,,,,,,walong si,,33.05123,94.20416,,
G1KR1760,monastery,བདེ་ཆེན་འགྱུར་མེད་གླིང་།,德庆觉美林,,,,འགྲོ་དཔལ་བདེ་ཆེན་འགྱུར་མེད་གླིང་།,,,deqing juemei lin,,31.18333,87.41666,,
G1KR1602,monastery,གླིང་ཁ་དགོན།,林卡寺,,,,སྟག་མོ་གླིང་ཁ་དགོན ?,达摩林卡寺,,damo linka si,,29.95000,87.61667,1436,
G1KR1719,monastery,,夏瓦寺,,,,,,,Xiawa si,,30.73333,89.08334,,
G1KR798,monastery,,崩贡寺,,,,,,,Benggong si,,28.11667,98.93333,,
G3385,monastery,གཡག་འཁྲབ་དགོན།,,,,,རི་བོ་མདོ་ལྡན་གླིང་།,,,,,,,,
G2913,monastery,རྡོ་རུང་དགོན།,,,,,,,,,,,,,
G2497,monastery,སོག་གཅུང་པ་ཆོས་འཁོར་དགོན།,,,,,ཆོས་འཁོར་དགོན ༼སོག་གཅུང་པ༽,,,,,,,,
G1PD96138,monastery,ལེ་རྒན་དགོན་པ།,列干寺,,,,ལེ་རྒན་དགོན་པ།,列干寺,,liegan si,,35.84734,102.18000,1980,
G4595,monastery,པོ་ཏོ་དགོན།,波多寺,,,,,,,boduo si,,29.92141,91.19951,1050,
G2725,monastery,སྤུ་རི་དགོན།,布日寺,,,,སྤུ་རི་དགོན་པ།,保日寺,,buri si,,32.05579,96.49707,,
G4652,monastery,བྱམས་མེ་དགོན།,哲蚌寺,,,,བྱམས་མེ་དགོན་ཐོས་བསམ་རྣམ་རྒྱལ་གླིང་།,若尔盖县哲蚌寺,,ruo'ergai xian zhebang si,,33.71830,102.46394,1751,
G2045,monastery,བྲག་རྡོག་དགོན།,,,,,,,,,,,,,
G2KG2759,monastery,རྣམ་རྒྱལ་ཆོས་སྡེ།,,namgyal choede thupten dhargyeling,,,རྣམ་རྒྱལ་ཆོས་སྡེ་ཐུབ་བསྟན་དར་རྒྱས་གླིང་།,,,,,,,,
G3538,monastery,མཁར་སྣ་དགོན།,喀纳寺,,,,མཁར་སྣ་བསམ་གཏན་གླིང་།,,,kana si,,29.444580,89.499630,1700,
G1KR175,monastery,སྤྲོ་ཚིགས་དགོན།,河支寺,,,,དགེ་ལྡན་ལུང་རྟོགས་ཆོས་ལྡན་གླིང་།,,,hezhi si,,32.91300,101.64474,1749,
G1KR1897,monastery,,通庆寺,,,,,通庆寺,,Tongqing si,,29.01667,97.95000,,
G2CN10845,printery,སྤོམ་ར་ཁམས་ཚན་གྱི་པར་ཁང་།,,,,,,,,,,,,,
G1PD96274,monastery,གོང་སྐྱ་ཡང་དགོན།,公什甲寺,,,,ཐུབ་བསྟན་གླིང་།,公什甲寺,,gongshijia si,,35.87889,102.65000,1393,
G4956,monastery,བཞད་དགེ་འཕེལ་གླིང་།,,,,,,,,,,,,,
G4221,monastery,བྱར་སྐྱིད་སྦུག,,,,,སྐྱིད་སྦུག,,,,,,,,
G1KR1690,monastery,སེན་ཚ་དགོན།,申扎寺,,,,སེན་ཚ་དགོན་རྣམ་རྒྱལ་ཀུན་གྲགས་གླིང་།,,,shenzha si,,31.207373,93.964289,1440,
G1PD96083,monastery,ཀན་དགུ་ཟི།,甘沟寺,,,,,,,gan gou si,,,,,
G1KR1210,monastery,,昆达寺,,,,,香堆寺,,Kunda si,,30.56667,97.96667,,
G4133,monastery,སྨོང་སྐྱིད་དགོན།,,,,,གླང་འོད་དགོན ༼སྔར་མིང༽,,,,,,,,
G1KR1636,monastery,སྐྱིད་ཚལ་དགོན།,吉砻蔡寺,,,,,,,Jilong cha si,,27.53333,88.98333,1250,
G4004,monastery,སྤང་སྒང་དགོན།,,,,,ནགས་རམ་སྒམ་སྤང་སྒང་དགོན།,,,,,,,,
G10MS14565,monastery,ཆོས་རྗེ་རྒྱ་ཆེ་དགོན།,,,,,ཆོས་སྡེ་རྒྱ་ཆེ་དགོན།,,,,,,,1425,
G1KR1527,monastery,གོས་སྔོན་ལྷ་ཁང་།,贵恩拉康,,,,མཐའ་འདུལ་བྱང་ཕྱོགས་ཚངས་པ་རླུང་གནོན་གྱི་ལྷ་ཁང་།,贡敦拉康,,Gongdon Lakang,,29.51667,89.58334,0700,1200
G1KR2621,monastery,གུ་རི་དགོན་པ།,格日寺,,,,,,,geri si,,35.00000,99.26000,1952,
G1KR1788,monastery,དྲི་ས་དགོན།,齿萨寺,,,,,,,Drisa,,31.51667,79.86667,1050,
G1PD96284,monastery,བིས་ཐང་ལ་ཁའི་སྒར།,比塘寺,,,,,卑塘寺,,bitang si,,35.78867,102.24480,1835,
G351,monastery,ཚེ་རིང་ལྗོངས།,次仁炯寺,,,,ཚེ་རིང་ལྗོངས་པདྨ་འོད་གསལ་ཐེག་མཆོག་གླིང་།,东嘎尼姑庙,,dongga nigu si,,29.01364,91.72419,1762,
G1PD110071,monastery,རུམ་བཏེགས་དགོན་པ།,隆德寺,Rumtek Monastery,,,རུམ་སྟེགས་དགོན་པ།,荣定寺,Dharmachakra Centre,rong ding si,,27.331944,88.601944,,
G1792,monastery,མདོ་ཐོག་དགོན།,,,,,སྨར་མདོ་བཀྲ་ཤིས་དགའ་འཁྱིལ་དགོན།,,,,,,,1760,
G2663,monastery,སེར་རྩ་དགོན།,赛扎寺,,,,,,,saizha si,,32.99964,95.60126,1630,
G2CN569,monastery,བིཀྲམ་ལ་ཤཱི་ལ།,超戒寺,Vikramasila,,,བི་ཀྲ་མ་ལ་ཤཱི་ལའི་གཙུག་ལག་ཁང་།,超行寺／超岩寺,,chaoxing si/chaoyan si,,,,,
G229,monastery,བྱ་ཡུལ་དགོན་པ།,,Jayul Gonpa,,,,,,,,,,,
G1KR799,monastery,,禹功寺,,,,,,,Yugong si,,28.16667,98.91666,,
G3496,monastery,རྟའུ་དགོན།,,,,,,,,,,,,,
G3726,monastery,ཁང་སར་གོང་མ་དགོན།,,,,,,,,,,,,,
G1KR692,monastery,ཞྭ་མོ་དགོན།,向阳寺,,,,,,,xiangyang si,,29.76667,100.38333,,
G4190,monastery,རྫ་དཀར་དགོན།,,,,,ལྷ་དཀར་དགོན།,,,,,,,,
G3322,monastery,ཉི་མ་ཐང་དགོན་པ།,尼玛汤寺,,,,,,,nimatang si,,29.50162,91.05206,0650,1050
G4854,monastery,ངས་མདོ་དགོན།,七步寺,,,,ངས་མདོ་དགོན་བློ་བཟང་བདེ་ཆེན་གླིང་།,,,qibu si,,34.48999,103.59457,1366,
G1KR1878,monastery,,增求寺,,,,,,,Zengqiu si,,29.68333,95.38333,,
G3837,monastery,འཇང་སྒང་དགོན།,牛角寺,,,,,,,niujiao si,,31.46667,100.55000,1725,
G1KG116097,monastery,སྤྱི་ཞིང་དགོན་པ།,,chizhing monastery,,,སྤྱི་ཞིང་བསམ་གཏན་ཆོས་གླིང་།,,chizhing samtencholing,,,,,,
G1550,monastery,ལུ་གུ་དགོན།,洛俄寺,,,,དཀར་མཛེས་ལུ་གུ་དགོན།,,,luo e si,,31.85000,100.15000,1725,
G2CN10940,printery,ཞི་ཁྲོ་ལྷ་ཁང་གི་པར་ཁང་།,,,,,,,,,,,,,
G1KR1701,monastery,རྟིང་རྔུལ་བོན་དགོན།,丁俄崩贡寺,,,,རྟིང་ངུ་བོན་དགོན།,丁俄本寺,,ding'eben si,,32.420167,93.254866,1703,
G1KR314,monastery,ཨེར་གོ་སི ༼དགོན༽,,,Ergou,,,,,,,28.91667,101.83334,,
G2CN10870,printery,རྨེ་རུ་གྲྭ་ཚང་གི་པར་ཁང་།,,,,,,,,,,,,,
G4028,monastery,ཤིང་འཁར་དགོན།,,,,,ཤིང་འཁར་བྱང་ཆུབ་གླིང་།,,,,,,,,
G452,monastery,གཡེར་གཤོང་དགོན།,叶什姜寺,,,,གཡེར་གཤོང་བསམ་གཏན་ཆོས་འཕེལ་གླིང་།,叶什琼寺/叶尔雄寺,,yeshiqiong si/ye-erxiong si,,35.89999,101.55538,1696,
G1633,monastery,རབ་རྒྱས་དགོན།,如几寺,,,,ཉག་རོང་རབ་རྒྱས་དགོན།,,,ru ji si,,30.78333,100.16666,1292,
G3648,monastery,ཡོན་ཏན་འབྱུང་ཁུངས།,,,,,,,,,,,,,
G3JT12622,printery,ཞེ་ཆེན་དགོན་པའི་པར་ཁང་།,,,,,ཞེ་ཆེན་བསྟན་གཉིས་དར་རྒྱས་གླིང་གྱི་པར་ཁང་།,,,,,,,,
G1PD95785,monastery,ཅིང་ཐ་ཟི།,金塔寺,,,,,金塔寺,,jinta si,,36.61000,101.78000,1500,
G2GS1049,monastery,ངོམ་སྒང་དགོན།,,,,,,,,,,,,,
G2585,monastery,ཨ་འབྱུང་དགོན།,安云寺,,,,ཨ་ཡུང་དགོན།,,,anyun si,,,,,
G3790,monastery,ར་ལུ་དགོན།,拉角寺,,,,མི་ཉག་ར་ལུ་དགོན།,,,lajiao si,,30.33333,102.26667,1986,
